╒══╕
│  │
╘══╛
cbz..... | ...... | 1001 nuits de Schéhérazade (Les)

╒═════════╕
│ Kyoteru │
╘═════════╛
cbz..... | T01... | Enfant de l'ombre
  => ====[Histoire]====\= Chine, Japon

╒═════════════╕
│ Labyrinthes │
╘═════════════╛
cbz..... | T01... | Le dieu qui souffre
cbz..... | T02... | La mort qui marche !
cbz..... | T03... | Agwe Wedo
cbz..... | T04... | Les maîtres de l'Agartha
  => ====[Fantastique]====

╒════════╕
│ Lady S │
╘════════╛
cbz..... | T01... | Na zdoroviu, Shaniouchka
cbz..... | T02... | A ta santé, Suzie
cbz..... | T03... | 59° latitude nord
cbz..... | T04... | Jeu de dupes
cbz..... | T05... | Une taupe à Washington
cbz..... | T06... | Salade portugaise
cbz..... | T07... | Une seconde d'éternité
  => ====[Aventure]====

╒═════════════╕
│ Lait entier │
╘═════════════╛
cbz..... | T01... | Sacrées vaches
cbz..... | T02... | Requiem pour une vache
  => ====[BD classique]====\Vache (La)

╒═════════════════╕
│ Lama blanc (Le) │
╘═════════════════╛
cbz..... | T01... | Le premier pas
cbz..... | T02... | La seconde vue
cbz..... | T03... | Les trois oreilles
cbz..... | T04... | La quatriième voix
cbz..... | T05... | Main fermée, main ouverte
cbz..... | T06... | Triangle d'eau, triangle de feu
  => ====[Fantastique]====

╒══════════╕
│ Lancelot │
╘══════════╛
cbz..... | T01... | Claudas des terres désertes
  => ====[Fantastique]====

╒═════════════════════╕
│ L'ancêtre programmé │
╘═════════════════════╛
cbz..... | T01... | Le temps de l'éveil
cbz..... | T02... | Le temps de la conscience
cbz..... | T03... | Le temps du jugement
cbz..... | T04... | Le temps du savoir
cbz..... | T05... | La révélation
  => ====[Science-fiction]====\Transgénèse

╒═════════════╕
│ Largo Winch │
╘═════════════╛
cbz..... | T01... | L'héritier
cbz..... | T02... | Le groupe W
cbz..... | T03... | OPA
cbz..... | T04... | Business blues
cbz..... | T05... | H
cbz..... | T06... | Dutch connection
cbz..... | T07... | La forteresse de Makiling
cbz..... | T08... | L'heure du tigre
cbz..... | T09... | Voir Venise
cbz..... | T10... | Et mourir
cbz..... | T11... | Golden Gate
cbz..... | T12... | Shadow
cbz..... | T13... | Le prix de l'argent
cbz..... | T14... | La loi du dollar
cbz..... | T15... | Les trois yeux des gardiens du Tao
cbz..... | T16... | La voie et la vertu
  => ====[Aventure]====

╒══════════════╕
│ Lazarus Jack │
╘══════════════╛
cbz..... | T01... | Evasion cosmique
  => ====[Fantastique]====

╒════════════════════════╕
│ Le silence de la terre │
╘════════════════════════╛
cbz..... | T01... | Visionary reality
  => ====[Science-fiction]====\Transgénèse

╒═════════╕
│ Lefranc │
╘═════════╛
cbz..... | T01... | La grande menace
cbz..... | T02... | L'ouragan de feu
cbz..... | T03... | le mystère Borg
cbz..... | T04... | Le repaire du loup
cbz..... | T05... | Les portes de l'enfer
cbz..... | T06... | Opération Thor
cbz..... | T07... | L'oasis
cbz..... | T08... | L'arme absolue
cbz..... | T09... | La crypte
cbz..... | T10... | L'apocalypse
cbz..... | T11... | La cible
cbz..... | T12... | La Camarilla
cbz..... | T13... | Le vol du Spirit
cbz..... | T14... | La colonne
cbz..... | T15... | El Paradisio
cbz..... | T16... | L'ultimatum
cbz..... | T17... | Le maître de l'atome
cbz..... | T18... | La momie bleue
cbz..... | T19... | Londres en péril
  => ====[Aventure]====\Lefranc

╒════════════════╕
│ Légataire (Le) │
╘════════════════╛
cbz..... | T01... | Le rendez-vous de Glasgow
cbz..... | T02... | Le songe de Médine
cbz..... | T03... | Le labyrinthe de Thot
cbz..... | T04... | Le cardinal
  => ====[Aventure]====\Décalogue (Le)

╒═══════════════════╕
│ Légendaires (Les) │
╘═══════════════════╛
cbz..... | T01... | La pierre de Jovénia
cbz..... | T02... | Le gardien
cbz..... | T03... | Frères ennemis
cbz..... | T04... | Le réveil du Krea Kaos
cbz..... | T05... | Coeur du passé
cbz..... | T06... | Main du futur
cbz..... | T07... | Aube et crépuscule
cbz..... | T08... | Griffes et plumes
cbz..... | T09... | L'alystory
cbz..... | T10... | La marque du destin
cbz..... | T11... | Versus inferno
cbz..... | T12... | Renaissance
cbz..... | T13... | Sang royal
cbz..... | T14... | L'héritage du mal
  => ====[Mangas, Comics]====

╒═════════╕
│ Légende │
╘═════════╛
cbz..... | T01... | L'enfant Loup
cbz..... | T02... | Les forêts profondes
cbz..... | T03... | La grande battue
cbz..... | T04... | Le maitre des songes
  => ====[Fantasy]====

╒════════════════════════════╕
│ Légende du Changeling (La) │
╘════════════════════════════╛
cbz..... | T01... | Le mal-venu
  => ====[Fantasy]====

╒════════════════════════════╕
│ Légendes de la table ronde │
╘════════════════════════════╛
cbz..... | T01... | Premières prouesses
  => ====[Fantasy]====

╒════════════════════════════════╕
│ Légendes des contrées oubliées │
╘════════════════════════════════╛
cbz..... | T01... | La saison des cendres
cbz..... | T02... | Le pays des songes
cbz..... | T03... | Le sang des rois
  => ====[Fantasy]====

╒══════════════════════════════╕
│ Légendes du chevalier Cargal │
╘══════════════════════════════╛
cbz..... | T01... | La tombe du borgne
cbz..... | T02... | Manhawar
cbz..... | T03... | Le troisième monde
cbz..... | T04... | Le maître de Brumazar
  => ====[Fantasy]====

╒═════════════╕
│ Légion (La) │
╘═════════════╛
cbz..... | T01... | 1831-1918 - Camérone
cbz..... | T01... | 1919-1945 - Bir-hakeim
  => ====[Histoire]====\= 19ème siècle

╒═══════════════════════════╕
│ Legs de l'alchimiste (Le) │
╘═══════════════════════════╛
cbz..... | T01... | Joachim Overbeck
cbz..... | T02... | Léonora Von Stock
cbz..... | T03... | Monsieur de St-Loup
cbz..... | T04... | Maitre Helvetius
cbz..... | T05... | Anna et Zacharia
  => ====[Fantastique]====

╒═══════════╕
│ Léo Loden │
╘═══════════╛
cbz..... | T01... | Terminus canebière
cbz..... | T02... | Les sirènes du vieux-port
cbz..... | T03... | Adieu ma Joliette
cbz..... | T04... | Grillade provençale
cbz..... | T05... | Kabbale dans les traboules
cbz..... | T06... | Pizza aux pruneaux
cbz..... | T07... | Propergol sur le Capitole
cbz..... | T08... | Vodka mauresque
cbz..... | T09... | Chaud beffroi
cbz..... | T10... | Testament et figatelli
cbz..... | T11... | Diamants noirs sur canapé
cbz..... | T12... | Tirs à vue
cbz..... | T13... | Bretzel fatal
cbz..... | T14... | Calissons et lumières
cbz..... | T15... | Macchabées à l'escabèche
cbz..... | T16... | Froide vendange
cbz..... | T17... | Hélico pesto
cbz..... | T18... | Tapas ou ça casse
cbz..... | THS... | Léo Loden et Jules sauvent la coupe du monde
cbz..... | THS... | Meurtre à la FNAC
  => ====[Policier, espionnage, ...]====

╒═════════╕
│ Léonard │
╘═════════╛
cbz..... | T01... | Léonard est un génie
cbz..... | T02... | Léonard est toujours un génie
cbz..... | T03... | Léonard, c'est un quoi, déjà
cbz..... | T04... | HI-FI génie
cbz..... | T05... | Genie à toute heure
cbz..... | T06... | Genie en balade
cbz..... | T07... | Y a-t-il un génie dans la salle
cbz..... | T08... | Coup de génie
cbz..... | T09... | Génie civil
cbz..... | T10... | La guerre des génies
cbz..... | T11... | Génie du bal
cbz..... | T12... | Trait de génie
cbz..... | T13... | Génie en herbe
cbz..... | T14... | Le poids du génie
cbz..... | T15... | Crie, ô, génie
cbz..... | T16... | Genie à revendre
cbz..... | T17... | Ohé du génie
cbz..... | T18... | Génie en sous-sol
cbz..... | T19... | Flagrant génie
cbz..... | T20... | Ciel mon génie
cbz..... | T21... | Un air de génie
cbz..... | T22... | Cadeau de génie
cbz..... | T23... | Poil au génie!
cbz..... | T24... | Temps de génie
cbz..... | T25... | D'où viens-tu génie
cbz..... | T26... | Genie or not génie
cbz..... | T27... | On a marché sur le génie
cbz..... | T28... | Genie toujours... prêt
cbz..... | T29... | Les bons contes font les bons génies
cbz..... | T30... | Génie du foot
cbz..... | T31... | Dodo de génie
cbz..... | T32... | Magic génie
cbz..... | T33... | Y'a du génie dans l'air !
cbz..... | T34... | Docteur génie et Mister Aïe
cbz..... | T35... | Le génie donne sa langue au chat
cbz..... | T36... | Le génie se gondole
cbz..... | T37... | C'est parti, mon génie !
cbz..... | T38... | Y'a-t-il un génie pour sauver la planète
cbz..... | T39... | Loué soit le génie
cbz..... | T41... | Génie du stop
cbz..... | T42... | Le génie des grandeurs
cbz..... | T43... | Super-génie
cbz..... | T44... | Tour de génie
cbz..... | T45... | Génie de l'insomnie
cbz..... | T46... | Le génie crève l'écran
cbz..... | T47... | Master.génie
cbz..... | THS... | Léonard - 20 Ans de génie
  => ====[BD classique]====

╒═══════════════════╕
│ Léonid Beaudragon │
╘═══════════════════╛
cbz..... | T01... | Le fantôme du mandchou fou
cbz..... | T02... | La nuit des totems
cbz..... | T03... | Le scaphandrier du lundi
  => ====[Aventure]====

╒═════════════════════╕
│ Leonid et Spoutnika │
╘═════════════════════╛
cbz..... | T01... | Niet future
cbz..... | T02... | Papa maman Lenine et moi
cbz..... | T03... | Pour une poignée de roubles
cbz..... | T04... | Pour quelques kopecs de plus
cbz..... | T05... | American graffitof
  => ====[BD classique]====

╒════════════════╕
│ Lester Cockney │
╘════════════════╛
cbz..... | HS.... | Irish melody
cbz..... | HS.... | Shamrock song
cbz..... | T01... | Les fous de Kaboul 1
cbz..... | T02... | Les fous de Kaboul 2 - La neige était crissante
cbz..... | T03... | Une Hongroise au Penjab
cbz..... | T04... | Je veux retourner à Pecs !
cbz..... | T05... | Le roi des Dalmates
cbz..... | T06... | Les conjurés du danube
cbz..... | T07... | La déchirure
cbz..... | T08... | Oregon trail
cbz..... | T09... | Mise au poing
  => ====[Aventure]====\Lester Cockney

╒══════════════════╕
│ Léviathans (Les) │
╘══════════════════╛
cbz..... | T01... | Le plan Aspic
cbz..... | T02... | La dent de l'alligator
cbz..... | T03... | Réactions en chaîne
  => ====[Aventure]====

╒═════╕
│ Lex │
╘═════╛
cbz..... | T03... | Une cible trop loin
  => ====[Fantasy]====

╒════════════════╕
│ Libre à jamais │
╘════════════════╛
cbz..... | T01... | Une autre guerre
cbz..... | T02... | Exode
cbz..... | T03... | Révélation
  => ====[Science-fiction]====\Guerre éternelle (La)

╒══════════════╕
│ Licorne (La) │
╘══════════════╛
cbz..... | T01... | Le dernier temple d'Asclépios
cbz..... | T02... | Ad naturam
  => ====[Fantastique]====

╒═══════════╕
│ Lien (Le) │
╘═══════════╛
cbz..... | T01... | Seigneur quatre
  => ====[Fantasy]====

╒═════════════════════╕
│ Lièvre de Mars (Le) │
╘═════════════════════╛
cbz..... | T01... | 
cbz..... | T02... | 
cbz..... | T03... | 
cbz..... | T04... | 
cbz..... | T05... | 
cbz..... | T06... | 
cbz..... | T07... | 
cbz..... | T08... | 
cbz..... | T09... | 
  => ====[Science-fiction]====

╒═══════════════════════════════════════════╕
│ Ligue des gentlemans extraordinaires (La) │
╘═══════════════════════════════════════════╛
cbz..... | T01.02 | Intégral
cbz..... | T03... | 
cbz..... | T04... | 
  => ====[Mangas, Comics]====

╒═══════════╕
│ Lilymande │
╘═══════════╛
cbz..... | T01... | Princip'île
cbz..... | T02... | Le chant d'Orca
  => ====[Science-fiction]====

╒══════════════╕
│ Linceul (Le) │
╘══════════════╛
cbz..... | T01... | Les ombres de la relique
cbz..... | T02... | Le cercle de sydoine
cbz..... | T03... | Les vikings de dieu
cbz..... | T04... | L'agitateur public
  => ====[Aventure]====

╒═════════╕
│ Lincoln │
╘═════════╛
cbz..... | T01... | Crâne de bois
cbz..... | T02... | Indian tonic
cbz..... | T03... | Playground
cbz..... | T04... | Châtiment corporel
cbz..... | T05... | Cul nul sur la plaine
cbz..... | T06... | French lover
  => ====[Western]====

╒══════════╕
│ Lipstick │
╘══════════╛
cbz..... | T01... | La nuit verticale
cbz..... | T02... | Deux balles pour un singe
cbz..... | T03... | La nonne raffle tout
cbz..... | T04... | Sang d'encre
  => ====[Aventure]====

╒═══════════════╕
│ Liste 66 (La) │
╘═══════════════╛
cbz..... | T01... | Illinois
cbz..... | T02... | Missouri
cbz..... | T03... | Kansas
cbz..... | T04... | Oklahoma Texas
cbz..... | T05... | Californie
  => ====[Aventure]====

╒═══════════════╕
│ Litteul Kevin │
╘═══════════════╛
cbz..... | T01... | Litteul Kevin
cbz..... | T02... | Épique & sauvage
cbz..... | T03... | Hasta la bista baby !
cbz..... | T04... | 
cbz..... | T05... | 
cbz..... | T06... | 
cbz..... | T07... | 
  => ====[BD classique]====

╒══════════════╕
│ Little blade │
╘══════════════╛
cbz..... | T01... | Le patrouilleur du vent
cbz..... | T02... | La licorne
  => ====[Science-fiction]====\Zentak

╒═════════════╕
│ Little Nemo │
╘═════════════╛
cbz..... | T01... | Le bon roi
cbz..... | T02... | Le mauvais roi
cbz..... | T03... | La route des icebergs
  => ====[Fantasy]====

╒═════════════╕
│ Little Némo │
╘═════════════╛
cbz..... | T04... | Le grand vol
  => ====[Fantasy]====

╒════════════════════════╕
│ Livre des destins (Le) │
╘════════════════════════╛
cbz..... | T01... | Le premier pas
cbz..... | T02... | La métamorphose
  => ====[Aventure]====

╒══════════════════════════╕
│ Livre d'or de la BD (Le) │
╘══════════════════════════╛
cbz..... | ...... | André Franquin
  => ====[BD classique]====

╒════════════════════════╕
│ Loi des 12 tables (La) │
╘════════════════════════╛
cbz..... | T01... | Volume premier
cbz..... | T02... | Volume deuxième
cbz..... | T03... | Volume troisième
cbz..... | T04... | Volume quatrième
cbz..... | T05... | Volume cinquième
cbz..... | T06... | Volume sixième
  => ====[Fantastique]====

╒═════════════════╕
│ Lolo et Sucette │
╘═════════════════╛
cbz..... | T01... | Trottoirs brûlants
cbz..... | T02... | Vénus vénales
cbz..... | T03... | Tapinage artistique
cbz..... | T04... | Coïts et chuchotements
cbz..... | T05... | Macadam cochonnes
cbz..... | T06... | Au suivant !
  => ====[Parodies, humour]====\== Erotiques

╒══════════════════╕
│ Long John Silver │
╘══════════════════╛
cbz..... | T01... | Lady Vivian Hastings
cbz..... | T02... | Neptune
cbz..... | T03... | Le labyrinthe d'émeraude
  => ====[Aventure]====

╒═════════╕
│ Loranne │
╘═════════╛
cbz..... | T01... | Clover
cbz..... | T02... | California dream
cbz..... | T03... | Frisco
  => ====[Chroniques, ...]====

╒══════════════════╕
│ Lord Clancharlie │
╘══════════════════╛
cbz..... | T01... | Deux enfants dans l'ombre
  => ====[Fantasy]====

╒═══════════════════╕
│ Lorette et Harpye │
╘═══════════════════╛
cbz..... | T01... | 
cbz..... | T02... | 
  => ====[BD classique]====

╒════════════════╕
│ Lothario Grimm │
╘════════════════╛
cbz..... | T01... | Le chateau de la sagesse
cbz..... | T02... | Le vortex de feu
cbz..... | T03... | La prison de nacre
  => ====[Fantasy]====

╒═══════════════╕
│ Lotus de jade │
╘═══════════════╛
cbz..... | T01... | Sarok Khan
cbz..... | T02... | Kaï Sekh
cbz..... | T03... | Wang Lu
  => ====[Fantasy]====

╒═════╕
│ Lou │
╘═════╛
cbz..... | T01... | L'héritage de Mortepierre
cbz..... | T02... | Lou et les pirates
cbz..... | T03... | Lou et les révolutionnaires
cbz..... | T04... | La bête noire
cbz..... | T05... | Lou aux jeux olympiques
cbz..... | T06... | Lou sur la Lune
  => ====[BD classique]====

╒═════════════════════════════════╕
│ Louis la Guigne - Louis Ferchot │
╘═════════════════════════════════╛
cbz..... | T01... | L'usine
cbz..... | T02... | Le fusil
cbz..... | T03... | La caserne
cbz..... | T04... | Le chasseur
cbz..... | T05... | L'île rouge
cbz..... | T06... | Trahisons
cbz..... | T07... | Le soldat inconnu
cbz..... | T08... | Le déserteur
  => ====[Aventure]====\Louis La Guigne

╒═══════════════════════════════════╕
│ Louis la Guigne - Louis La Guigne │
╘═══════════════════════════════════╛
cbz..... | T01... | Louis la Guigne
cbz..... | T02... | Moulin rouge
cbz..... | T03... | Un automne à Berlin
cbz..... | T04... | Le jour des faucons
cbz..... | T05... | L'escouade pourpre
cbz..... | T06... | Charleston
cbz..... | T07... | Les vagabonds
cbz..... | T08... | Fureur
cbz..... | T09... | Léo
cbz..... | T10... | Etchezabal
cbz..... | T11... | La cinquième colonne
cbz..... | T12... | Les parias
cbz..... | T13... | Lo Zio
  => ====[Aventure]====\Louis La Guigne

╒═════════════════════════════════════════════╕
│ Loup, l'agneau et les chiens de guerre (Le) │
╘═════════════════════════════════════════════╛
cbz..... | T01... | Mercenaires
  => ====[Fantasy]====

╒════════════╕
│ Luc Junior │
╘════════════╛
cbz..... | T01... | Les bijoux volés
cbz..... | T02... | Le fils du maharadjah
  => ====[BD classique]====

╒════════════╕
│ Luc Orient │
╘════════════╛
cbz..... | T01... | Les dragons de feu
cbz..... | T02... | Les soleils de glace
cbz..... | T03... | Le maître de Terango
cbz..... | T04... | La planète de l'angoisse
cbz..... | T05... | La forêt d'acier
cbz..... | T06... | Le secret des 7 lumières
cbz..... | T07... | Le cratère aux sortilèges
cbz..... | T08... | La légion des anges maudits
cbz..... | T09... | 24 heures pour la planete Terre
cbz..... | T10... | Le 6ème Continent
cbz..... | T11... | La vallee des eaux troubles
cbz..... | T12... | La porte de cristal
cbz..... | T13... | L'enclume de la foudre
cbz..... | T14... | Le rivage de la fureur
cbz..... | T15... | Roubak - Ultime espoir
cbz..... | T16... | Caragal
cbz..... | T17... | Les spores de nulle part
cbz..... | T18... | Rendez-vous à 20h en enfer
  => ====[Aventure]====

╒════════╕
│ Lucien │
╘════════╛
cbz..... | T05... | Lucien, le retour
  => ====[Chroniques, ...]====

╒════════════╕
│ Lucky Luke │
╘════════════╛
cbz..... | ...... | Grabuge à Pancake Valley
cbz..... | ...... | Hommage à Morris
cbz..... | ...... | La bataille du riz
cbz..... | ...... | Lucky Luke se marie !
cbz..... | ...... | Mac chez les indiens
cbz..... | ...... | Rocky Luke banlieue West
cbz..... | ...... | Un cheik au Far West
cbz..... | T01... | La mine d'or de Dick Digger
cbz..... | T02... | Rodéo
cbz..... | T03... | Arizona
cbz..... | T04... | Sous le ciel de l'ouest
cbz..... | T05... | Lucky Luke contre Pat Pocker
cbz..... | T06... | Hors-la-loi
cbz..... | T07... | L'élixir du docteur Doxey
cbz..... | T08... | Lucky Luke et Phil Defer
cbz..... | T09... | Des rails sur la prairie
cbz..... | T10... | Alerte aux pieds-bleus
cbz..... | T11... | Lucky Luke contre Joss Jamon
cbz..... | T12... | Les cousins Dalton
cbz..... | T13... | Le juge
cbz..... | T14... | Ruée sur L'Oklahoma
cbz..... | T15... | L'évasion des Dalton
cbz..... | T16... | En remontant le Mississipi
cbz..... | T17... | Sur la piste des Dalton
cbz..... | T18... | A l'ombre des derricks
cbz..... | T19... | Les rivaux de Painful Gulch
cbz..... | T20... | Billy the Kid
cbz..... | T21... | Les collines noires
cbz..... | T22... | Les Dalton dans le blizzard
cbz..... | T23... | Les Dalton courent toujours
cbz..... | T24... | La caravane
cbz..... | T25... | La ville fantôme
cbz..... | T26... | Les Dalton se rachètent
cbz..... | T27... | Le 20ème de cavalerie
cbz..... | T28... | L'escorte
cbz..... | T29... | Des barbelés sur la prairie
cbz..... | T30... | Calamity Jane
cbz..... | T31... | Tortillas pour les Dalton
cbz..... | T32... | La diligence
cbz..... | T33... | Le pied-tendre
cbz..... | T34... | Dalton City
cbz..... | T35... | Jesse James
cbz..... | T36... | Western circus
cbz..... | T37... | Canyon apache
cbz..... | T38... | Ma Dalton
cbz..... | T39... | Chasseur de primes
cbz..... | T40... | Le grand duc
cbz..... | T41... | L'héritage de Rantanplan
cbz..... | T42... | 7 histoires de Lucky Luke - série 1
cbz..... | T43... | Le cavalier blanc
cbz..... | T44... | La guérison des Daltons
cbz..... | T45... | L'empereur Smith
cbz..... | T46... | Le fil qui chante
cbz..... | T48... | Le magot des Dalton
cbz..... | T49... | La corde du pendu et autres histoires
cbz..... | T49... | Le bandit manchot
cbz..... | T50... | Sarah Bernhardt
cbz..... | T51... | Daisy Town
cbz..... | T52... | Fingers
cbz..... | T53... | Le Daily Star
cbz..... | T54... | La fiancée de Lucky Luke
cbz..... | T55... | La ballade des Dalton et autres histoires
cbz..... | T56... | Le ranch maudit
cbz..... | T57... | Nitroglycérine
cbz..... | T58... | L'alibi
cbz..... | T59... | Le Pony Express
cbz..... | T60... | L'amnésie des Dalton
cbz..... | T61... | Chasse aux fantômes
cbz..... | T62... | Les Dalton à la noce
cbz..... | T63... | Le pont sur le Mississipi
cbz..... | T64... | Belle Starr
cbz..... | T65... | Le klondike
cbz..... | T66... | O.K. corral
cbz..... | T67... | Marcel Dalton
cbz..... | T68... | Le prophète
cbz..... | T69... | L'artiste peintre
cbz..... | T70... | La légende de l'ouest
cbz..... | T71... | La belle province
cbz..... | T72... | La corde au cou
cbz..... | T73... | L'homme de Washington
cbz..... | T74... | Lucky Luke contre Pinkerton
  => ====[Western]====\Lucky Luke\Lucky Luke

╒══════╕
│ Luka │
╘══════╛
cbz..... | T01... | C'est toujours une histoire de femme
cbz..... | T02... | La peur est la couleur de la mort
cbz..... | T03... | Et j'ai la haine
cbz..... | T04... | Vies gachées vies perdues
cbz..... | T05... | Une balle dans la tête
cbz..... | T06... | Les actrices ne font pas le printemps
cbz..... | T07... | Lame de fond
cbz..... | T08... | La strategie du crabe
cbz..... | T09... | Une guerre de basse intensité
cbz..... | T10... | Secret défense
  => ====[Aventure]====

╒════════════════╕
│ Lumière froide │
╘════════════════╛
cbz..... | T01... | Eva
cbz..... | T02... | Le feu de l'ancêtre
cbz..... | T03... | Les yeux de Luce
  => ====[Fantastique]====

╒════════════════════════════╕
│ Lumières de l'amalou (Les) │
╘════════════════════════════╛
cbz..... | T01... | Théo
cbz..... | T02... | Le pantin
cbz..... | T03... | Le village tordu
cbz..... | T04... | Gouals
cbz..... | T05... | Cendres
  => ====[Fantasy]====

╒══════════════════════════════╕
│ Lune d'argent sur providence │
╘══════════════════════════════╛
cbz..... | T01... | Les enfants de l'abîme
cbz..... | T02... | Dieu par la racine
  => ====[Aventure]====

╒═══════╕
│ Luuna │
╘═══════╛
cbz..... | T01... | La nuit des totems
cbz..... | T02... | Le crépuscule du Lynx
cbz..... | T03... | Dans les traces d'Oh-Mah-Ah
cbz..... | T04... | Pok-Ta-Pok
  => ====[Fantasy]====

╒════════╕
│ Luxley │
╘════════╛
cbz..... | T01... | Le mauvais oeil
cbz..... | T02... | Sainte inquisition
cbz..... | T03... | Le sang de Paris
cbz..... | T04... | Le sultan
  => ====[Science-fiction]====

╒═════════╕
│ Mac Coy │
╘═════════╛
cbz..... | T01... | La legende d'Alexis Mac Coy
cbz..... | T02... | Un nommé Mac Coy
cbz..... | T03... | Pièges pour Mac Coy
cbz..... | T04... | Le triomphe de Mac Coy
cbz..... | T05... | Wanted Mac Coy
cbz..... | T06... | La mort blanche
cbz..... | T07... | Trafiquants de scalps
cbz..... | T08... | Little Big Horn
cbz..... | T09... | Le canyon du diable
cbz..... | T10... | Fiesta à Durango
cbz..... | T11... | Camerone
cbz..... | T12... | L'outlaw
cbz..... | T13... | Les collines de la peur
cbz..... | T14... | Le désert des fous
cbz..... | T15... | Mescaleros station
cbz..... | T16... | Le fantôme de l'espagnol
cbz..... | T17... | Terreur apache
cbz..... | T18... | La malle aux sortilèges
cbz..... | T19... | La lettre de Hualco
cbz..... | T20... | Lointaine patrouille
cbz..... | T21... | Sur la piste de miss Kate
  => ====[Western]====

╒═════════╕
│ Macadam │
╘═════════╛
cbz..... | T01... | Max
cbz..... | T02... | Le chant du bourreau
cbz..... | T03... | L'étau
  => ====[Policier, espionnage, ...]====

╒══════════╕
│ Mâchefer │
╘══════════╛
cbz..... | T01... | Une huile en fuite
cbz..... | T02... | Le désert des carcasses
cbz..... | T03... | Les 24 heures du monde
  => ====[Fantasy]====

╒═════════════════╕
│ Magasin général │
╘═════════════════╛
cbz..... | T01... | Marie
cbz..... | T02... | Serge
cbz..... | T03... | Les hommes
cbz..... | T04... | Confessions
  => ====[Chroniques, ...]====

╒════════════════════╕
│ Magicien d'Oz (Le) │
╘════════════════════╛
cbz..... | T01... | 
cbz..... | T02... | 
cbz..... | T03... | 
  => ====[BD classique]====

╒════════╕
│ Magika │
╘════════╛
cbz..... | T01... | Rêves de sang
cbz..... | T02... | Les versets de feu
cbz..... | T03... | Paladin inc
cbz..... | T04... | Big bang Babylone
  => ====[Science-fiction]====

╒═══════════════╕
│ Magna veritas │
╘═══════════════╛
cbz..... | T01... | Solstice d'hiver
  => ====[Fantasy]====

╒═══════════════════════╕
│ Main de ma soeur (La) │
╘═══════════════════════╛
cbz..... | T01... | La main de ma soeur
  => ====[Parodies, humour]====\== Erotiques

╒═════════════╕
│ Main-Gauche │
╘═════════════╛
cbz..... | T1.... | La nuit des chants
  => ====[Western]====

╒══════════════════╕
│ Maison Dieu (La) │
╘══════════════════╛
cbz..... | T01... | La symphonie maléfique
cbz..... | T02... | La voix intérieure
cbz..... | T03... | La chaine du grand pouvoir
  => ====[Policier, espionnage, ...]====

╒════════════════════╕
│ Maître de jeu (Le) │
╘════════════════════╛
cbz..... | T01... | Testament
cbz..... | T02... | Prémonition
cbz..... | T03... | Matrice
cbz..... | T04... | Descendance
cbz..... | T05... | Ennemi
cbz..... | T06... | Rêve
  => ====[Aventure]====

╒═════════════════════════╕
│ Maître de peinture (Le) │
╘═════════════════════════╛
cbz..... | T01... | Eliza
cbz..... | T02... | L'inexplicable don
cbz..... | T03... | Premier concert
  => ====[Chroniques, ...]====

╒═══════════════════════╕
│ Maitre de pierre (Le) │
╘═══════════════════════╛
cbz..... | T01... | Colin Tranchant
cbz..... | T02... | La chaise du diable
cbz..... | T03... | La dame de Ligugé
cbz..... | T04... | Coeur de Bourges
  => ====[Chroniques, ...]====

╒════════════════════════╕
│ Maître des brumes (Le) │
╘════════════════════════╛
cbz..... | T01... | La route vers Glimrock
cbz..... | T02... | La prière des charognards
cbz..... | T03... | La peste D'Aor
  => ====[Fantasy]====

╒═══════════════════════╕
│ Maître détective (Le) │
╘═══════════════════════╛
cbz..... | T01... | Les mystères de Floddenwol
  => ====[Policier, espionnage, ...]====

╒════════════════════════════╕
│ Maitres cartographes (Les) │
╘════════════════════════════╛
cbz..... | T01... | Le monde de la cité
cbz..... | T02... | Le glyphe du bouffon
cbz..... | T03... | Les tours du Floovant
cbz..... | T04... | L'éclat de Camerlot
cbz..... | T05... | Le cri du plouillon
cbz..... | T06... | L'autre monde
  => ====[Fantasy]====

╒═════════════════════════╕
│ Maitres de l'orge (Les) │
╘═════════════════════════╛
cbz..... | T01... | Charles 1854
cbz..... | T02... | Margrit 1886
cbz..... | T03... | Adrien 1917
cbz..... | T04... | Noel 1932
cbz..... | T05... | Julienne 1950
cbz..... | T06... | Jay 1973
cbz..... | T07... | Frank 1997
cbz..... | T08... | Les Steenfort
  => ====[Chroniques, ...]====

╒════════╕
│ Makabi │
╘════════╛
cbz..... | T01... | Poupées russes
cbz..... | T02... | Appleton street
cbz..... | T03... | Voir le diable
cbz..... | T04... | Juke-box
  => ====[Aventure]====

╒═══════════════════════════╕
│ Malédiction de Zener (La) │
╘═══════════════════════════╛
cbz..... | T01... | Sibylle
cbz..... | T02... | Le clan des embaumeurs
cbz..... | T03... | Tokamak
  => ====[Science-fiction]====

╒═════════════════════════════════════════╕
│ Malédiction des sept boules vertes (La) │
╘═════════════════════════════════════════╛
cbz..... | T01... | Le voyageur imprudent
cbz..... | T02... | Le magicien
  => ====[Fantasy]====

╒══════════════╕
│ Malek Sliman │
╘══════════════╛
cbz..... | T01... | Pax Massilia
cbz..... | T02... | A un de ces quatre
cbz..... | T03... | Recyclage
  => ====[Science-fiction]====

╒═════════╕
│ Malheig │
╘═════════╛
